ranking,concorrente,Preço,preço_oficial,preço_indicado,Loja,qtd_vendida,link,principal,compatibilidade
N/A,Smart Tv Lg Uhd Ai Ua85 50 Polegadas 50ua8550psa,2183.53,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-uhd-ai-ua85-50-polegadas-50ua8550psa/up/MLBU3246616050#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5442499310&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv Lg 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa,2159,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",INPOWER,Novo  |  +50 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wifi-bluetooth-alexa/up/MLBU3268191742#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4110055903&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv LG 55'' 4k Ultra Uhd Pro Led Hdr Thinq Ai Alexa,2189,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Eshop,Novo  |  +100 vendidos,https://produto.mercadolivre.com.br/MLB-3966913787-smart-tv-lg-55-4k-ultra-uhd-pro-led-hdr-thinq-ai-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB3966913787&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart Tv LG 50  4k Uhd Ai ,processor 4k Gen8 Ia  50ua8550psa",2064,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo,https://produto.mercadolivre.com.br/MLB-5864626818-smart-tv-lg-50-4k-uhd-ai-processor-4k-gen8-ia-50ua8550psa-_JM#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5864626818&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv Lg 55 55ua8550psa+ubook Kit 10 Livros Digitais Geek,2499,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Mobcom,Novo  |  3 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-55-55ua8550psaubook-kit-10-livros-digitais-geek/up/MLBU3455852906#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4228845243&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
4.0,Smart Tv LG 50'' 4k Ultra Hd Pro Led Hdr Alexa Thinq Ai,2044.14,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Eshop,Novo  |  1 vendido,https://produto.mercadolivre.com.br/MLB-4202880273-smart-tv-lg-50-4k-ultra-hd-pro-led-hdr-alexa-thinq-ai-_JM#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4202880273&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
N/A,Smart Tv 43  Lg Led 4k Uhd Pro 43ur781c-b,1777.89,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo  |  3 vendidos,https://www.mercadolivre.com.br/smart-tv-43--lg-led-4k-uhd-pro-43ur781cb/up/MLBU3227670014#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4088340203&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Tv Lg 50 4k Super Upscaling Magic Remote Webos 50ua8550psa,,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Não informado,https://www.mercadolivre.com.br/tv-lg-50--4k-super-upscaling-magic-remote-webos-50ua8550psa/up/MLBU3337658755#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5538194598&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
5.0,Smart Tv Lg 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wifi-bluetooth-alexa-apple-airplay--50tu801c0sa/up/MLBU3337281209#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4147205381&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
N/A,Smart Tv LG 50'' 4k Webos 25 Ai Controle Smart Magic 50au801,,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Não informado,https://produto.mercadolivre.com.br/MLB-5775064782-smart-tv-lg-50-4k-webos-25-ai-controle-smart-magic-50au801-_JM#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5775064782&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv LG Uhd 4k Ut80 50 Polegadas 50ut8000,,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Não informado,https://produto.mercadolivre.com.br/MLB-4020672291-smart-tv-lg-uhd-4k-ut80-50-polegadas-50ut8000-_JM#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4020672291&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
